t0,t1,bw_mbps,jitter_ms,loss_pct
0.0,1.0,0.0706,0.102,70.0
1.0,2.0,0.0235,0.11,80.0
2.0,3.0,0.0353,0.159,85.0
3.0,4.0,0.0235,0.158,85.0
4.0,5.0,0.0235,0.211,90.0
5.0,6.0,0.0353,0.219,81.0
6.0,7.0,0.047,0.256,83.0
7.0,8.0,0.047,0.251,75.0
8.0,9.0,0.0353,0.37,73.0
9.0,10.0,0.0353,0.346,86.0
10.0,11.0,0.0235,0.412,85.0
11.0,12.0,0.0353,0.387,87.0
12.0,13.0,0.0235,0.352,85.0
13.0,14.0,0.047,0.339,80.0
14.0,15.0,0.0235,61.411,77.0
15.0,16.0,0.047,47.509,80.0
16.0,17.0,0.047,92.102,74.0
17.0,18.0,0.0353,75.95,82.0
18.0,19.0,0.0353,119.621,75.0
19.0,20.0,0.0353,153.737,76.0
20.0,21.0,0.0353,126.734,81.0
21.0,22.0,0.0353,158.736,76.0
22.0,23.0,0.0353,183.505,79.0
23.0,24.0,0.047,190.284,71.0
24.0,25.0,0.0,190.284,
25.0,26.0,0.0353,178.294,84.0
26.0,27.0,0.0118,217.53,80.0
27.0,28.0,0.047,194.066,85.0
28.0,29.0,0.0235,191.603,77.0
29.0,30.0,0.047,174.184,83.0
30.0,31.0,0.0235,174.921,77.0
31.0,32.0,0.047,161.058,83.0
32.0,33.0,0.0118,173.184,80.0
33.0,34.0,0.0588,149.927,81.0
34.0,35.0,0.0353,123.574,77.0
35.0,36.0,0.047,95.526,76.0
36.0,37.0,0.0353,78.75,81.0
37.0,38.0,0.0235,69.246,88.0
38.0,39.0,0.0588,50.247,77.0
39.0,40.0,0.0118,47.115,90.0
40.0,41.0,0.047,36.452,83.0
41.0,42.0,0.0118,34.181,92.0
42.0,43.0,0.0353,28.215,87.0
43.0,44.0,0.0235,24.82,85.0
44.0,45.0,0.0353,20.518,85.0
45.0,46.0,0.047,15.903,75.0
46.0,47.0,0.0235,14.031,88.0
47.0,48.0,0.047,67.453,74.0
48.0,49.0,0.0353,55.641,82.0
49.0,50.0,0.0353,104.466,75.0
50.0,51.0,0.047,129.363,71.0
51.0,52.0,0.0353,106.658,81.0
52.0,53.0,0.0353,143.717,79.0
53.0,54.0,0.0235,126.341,88.0
54.0,55.0,0.0353,158.344,75.0
55.0,56.0,0.047,168.488,71.0
56.0,57.0,0.0353,161.747,56.0
57.0,58.0,0.0235,192.279,77.0
58.0,59.0,0.047,174.361,83.0
59.0,60.0,0.0235,175.15,77.0
60.0,61.0,0.0588,151.219,78.0
61.0,62.0,0.0235,156.331,70.0
62.0,63.0,0.047,146.939,85.0
63.0,64.0,0.0353,121.119,77.0
64.0,65.0,0.0235,106.503,88.0
65.0,66.0,0.047,82.373,79.0
66.0,67.0,0.0235,99.266,77.0
67.0,68.0,0.047,102.524,83.0
68.0,69.0,0.0118,121.635,80.0
69.0,70.0,0.0588,112.497,81.0
70.0,71.0,0.0118,105.474,90.0
71.0,72.0,0.047,81.538,83.0
72.0,73.0,0.0353,67.244,77.0
73.0,74.0,0.0353,55.459,87.0
74.0,75.0,0.0235,48.766,85.0
75.0,76.0,0.0235,42.903,90.0
76.0,77.0,0.0353,90.565,75.0
77.0,78.0,0.0235,79.648,86.0
78.0,79.0,0.0353,118.481,82.0
79.0,80.0,0.0235,104.181,86.0
80.0,81.0,0.0353,85.931,84.0
81.0,82.0,0.047,66.436,75.0
82.0,83.0,0.0235,58.43,88.0
83.0,84.0,0.0353,106.029,79.0
84.0,85.0,0.0118,99.433,94.0
85.0,86.0,0.047,76.867,75.0
86.0,87.0,0.0353,116.365,76.0
87.0,88.0,0.0353,121.243,56.0
88.0,89.0,0.0353,180.601,85.0
89.0,90.0,0.047,139.596,76.0
90.0,91.0,0.047,107.904,71.0
91.0,92.0,0.047,135.336,74.0
92.0,93.0,0.0706,92.073,65.0
93.0,94.0,0.047,128.029,72.0
94.0,95.0,0.0941,76.559,53.0
95.0,96.0,0.047,59.239,76.0
96.0,97.0,0.0706,40.372,50.0
97.0,98.0,0.0235,64.85,77.0
98.0,99.0,0.0706,124.114,73.0
99.0,100.0,0.0706,84.4,54.0
100.0,101.0,0.0823,53.953,61.0
101.0,102.0,0.047,41.791,78.0
102.0,103.0,0.0588,90.809,71.0
103.0,104.0,0.659,35.737,0.0
104.0,105.0,0.2,12.051,0.0
105.0,106.0,0.2,4.112,0.0
106.0,107.0,0.2,1.47,0.0
107.0,108.0,0.2,0.566,0.0
108.0,109.0,0.2,0.25,0.0
109.0,110.0,0.2,0.163,0.0
110.0,111.0,0.2,0.096,0.0
111.0,112.0,0.2,0.09,0.0
112.0,113.0,0.2,0.119,0.0
113.0,114.0,0.2,0.12,0.0
114.0,115.0,0.2,0.121,0.0
115.0,116.0,0.2,0.121,0.0
116.0,117.0,0.2,0.106,0.0
117.0,117.5918,0.219,0.084,0.0
0.0,117.5918,0.0619,57.947,68.0
